,name,addr,city,phone,cuisine_type
0,arnie morton's of chicago, 435 s. la cienega blv . ,los angeles,3102461501,america
1,art's delicatessen, 12224 ventura blvd. ,studio city,8187621221,merican
2,campanile, 624 s. la brea ave. ,los angeles,2139381447,amurican
3,fenix, 8358 sunset blvd. west ,hollywood,2138486677,americen
4,grill on the alley, 9560 dayton way ,los angeles,3102760615,americann
5,restaurant katsu, 1972 n. hillhurst ave. ,los angeles,2136651891,asiane
6,locanda veneta, 3rd st. ,los angeles,3102741893,itali
7,matsuhisa, 129 n. la cienega blvd. ,beverly hills,3106599639,asiann
8,the palm, 9001 santa monica blvd. ,los angeles,3105508811,americann
9,philippe's the original, 1001 n. alameda st. ,los angeles,2136283781,murican
10,rex il ristorante, 617 s. olive st. ,los angeles,2136272300,italien
11,valentino, 3115 pico blvd. ,santa monica,3108294313,italian
12,yujean kang's gourmet chinese cuisine,67 n. raymond ave. ,los angeles,8185850855,asiat
13,21 club,21 w. 52nd st. ,new york,2125827200,american
14,aureole,34 e. 61st st. ,new york,2123191660,americano
15,cafe lalo, 201 w. 83rd st. ,new york,2124966031,italiann
16,carmine's, 2450 broadway between 90th and 91st sts . ,new york,2123622200,ameerican
17,chanterelle, 2 harrison st. near hudson st. ,new york,2129666960,asianne
18,dawat, 210 e. 58th st. ,new york,2123557555,italiano
19,felidia, 243 e. 58th st. ,new york,2127581479,americin
20,four seasons grill room,99 e. 52nd st. ,new york,2127549494,ammericann
21,gotham bar & grill,12 e. 12th st. ,new york,2126204020,americann
22,gramercy tavern,42 e. 20th st. between park ave. s and broadway ,new york,2124770777,amerycan
23,jo jo, 160 e. 64th st. ,new york,2122235656,aamerican
24,lespinasse, 2 e. 55th st. ,new york,2123396719,italian
25,march, 405 e. 58th st. ,new york,2127546272,americann
26,mesa grill, 102 5th ave. between 15th and 16th sts . ,new york,2128077400,ameerican
27,mi cocina,57 jane st. off hudson st. ,new york,2126278273,ameriican
28,park avenue cafe, 100 e. 63rd st. ,new york,2126441900,italiaan
29,river cafe, 1 water st. at the east river ,brooklyn,7185225200,asiian
30,san domenico, 240 central park s ,new york,2122655959,asiaan
31,seryna,11 e. 53rd st. ,new york,2129809393,amerrican
32,shun lee west,43 w. 65th st. ,new york,2123718844,ameerrican
33,sign of the dove, 1110 3rd ave. at 65th st. ,new york,2128618080,ammereican
34,smith & wollensky, 201 e. 49th st. ,new york,2127531530,american
35,tavern on the green, in central park at 67th st. ,new york,2128733200,american
36,union square cafe,21 e. 16th st. ,new york,2122434020,asian
37,virgil's, 152 w. 44th st. ,new york,2129219494,italian
38,chin's, 3200 las vegas blvd. s ,las vegas,7027338899,american
39,coyote cafe, 3799 las vegas blvd. s ,las vegas,7028917349,american
40,steak house, 2880 las vegas blvd. s ,las vegas,7027340410,american
41,abruzzi, 2355 peachtree rd. . peachtree battle shopping center ,atlanta,4042618186,american
42,bone's, 3130 piedmont road ,atlanta,4042372663,asian
43,buckhead diner, 3073 piedmont road ,atlanta,4042623336,italian
44,delectables, 1 margaret mitchell sq. ,atlanta,4046812909,italian
45,georgia grille, 2290 peachtree rd. . peachtree square shopping center ,atlanta,4043523517,american
46,heera of india, 595 piedmont ave. rio shopping mall ,atlanta,4048764408,american
47,la grotta, 2637 peachtree rd. . peachtree house condominium ,atlanta,4042311368,american
48,mary mac's tea room, 224 ponce de leon ave. ,atlanta,4048761800,asian
49,veni vidi vici,41 14th st. ,atlanta,4048758424,asian
50,boulevard, 1 mission st. ,san francisco,4155436084,american
51,campton place, 340 stockton st. ,san francisco,4159555555,american
52,hawthorne lane,22 hawthorne st. ,san francisco,4157779779,italiaan
53,khan toke thai house, 5937 geary blvd. ,san francisco,4156686654,italian
54,mifune japan center kintetsu building, 1737 post st. ,san francisco,4159220337,italianne
55,postrio, 545 post st. ,san francisco,4157767825,italiian
56,ritz-carlton restaurant and dining room, 600 stockton st. ,san francisco,4152967465,american
57,rose pistola, 532 columbus ave. ,san francisco,4153990499,american
58,il nido, 251 e. 53rd st. ,new york,2127538450,italian
59,remi, 145 w. 53rd st. ,new york,2125814242,italian
60,adriano's ristorante, 2930 beverly glen circle ,los angeles,3104759807,american
61,barney greengrass, 9570 wilshire blvd. ,beverly hills,3107775877,asian
62,border grill, 4th st. ,los angeles,3104511655,italiaan
63,broadway deli, 3rd st. promenade ,santa monica,3104510616,american
64,ca   brea, 346 s. la brea ave. ,los angeles,2139382863,american
65,ca   del sol, 4100 cahuenga blvd. ,los angeles,8189854669,american
66,canter's, 419 n. fairfax ave. ,los angeles,2136512030,american
