state,good,prop_selling
Alabama,Bakedgoods,0.760563
Alabama,Beans,0.084507
Alabama,Cheese,0.225352
Alabama,Coffee,0.197183
Alabama,Crafts,0.422535
Alabama,Eggs,0.591549
Alabama,Flowers,0.436620
Alabama,Fruits,0.760563
Alabama,Grains,0.098592
Alabama,Herbs,0.619718
Alabama,Honey,0.859155
Alabama,Jams,0.859155
Alabama,Juices,0.112676
Alabama,Maple,0.014085
Alabama,Meat,0.253521
Alabama,Mushrooms,0.056338
Alabama,Nursery,0.070423
Alabama,Nuts,0.267606
Alabama,PetFood,0.112676
Alabama,Plants,0.591549
Alabama,Poultry,0.197183
Alabama,Prepared,0.408451
Alabama,Seafood,0.056338
Alabama,Soap,0.535211
Alabama,Tofu,0.014085
Alabama,Trees,0.295775
Alabama,Vegetables,0.957746
Alabama,WildHarvested,0.098592
Alabama,Wine,0.000000
Arizona,Bakedgoods,0.803030
Arizona,Beans,0.530303
Arizona,Cheese,0.484848
Arizona,Coffee,0.696970
Arizona,Crafts,0.636364
Arizona,Eggs,0.757576
Arizona,Flowers,0.454545
Arizona,Fruits,0.909091
Arizona,Grains,0.378788
Arizona,Herbs,0.787879
Arizona,Honey,0.787879
Arizona,Jams,0.818182
Arizona,Juices,0.484848
Arizona,Maple,0.181818
Arizona,Meat,0.484848
Arizona,Mushrooms,0.272727
Arizona,Nursery,0.000000
Arizona,Nuts,0.530303
Arizona,PetFood,0.439394
Arizona,Plants,0.666667
Arizona,Poultry,0.409091
Arizona,Prepared,0.772727
Arizona,Seafood,0.318182
Arizona,Soap,0.787879
Arizona,Tofu,0.075758
Arizona,Trees,0.363636
Arizona,Vegetables,0.909091
Arizona,WildHarvested,0.227273
Arizona,Wine,0.090909
Arkansas,Bakedgoods,0.915254
Arkansas,Beans,0.135593
Arkansas,Cheese,0.203390
Arkansas,Coffee,0.389831
Arkansas,Crafts,0.830508
Arkansas,Eggs,0.864407
Arkansas,Flowers,0.745763
Arkansas,Fruits,0.864407
Arkansas,Grains,0.152542
Arkansas,Herbs,0.694915
Arkansas,Honey,0.847458
Arkansas,Jams,0.898305
Arkansas,Juices,0.118644
Arkansas,Maple,0.101695
Arkansas,Meat,0.508475
Arkansas,Mushrooms,0.169492
Arkansas,Nursery,0.016949
Arkansas,Nuts,0.237288
Arkansas,PetFood,0.254237
Arkansas,Plants,0.677966
Arkansas,Poultry,0.355932
Arkansas,Prepared,0.423729
Arkansas,Seafood,0.050847
Arkansas,Soap,0.745763
Arkansas,Tofu,0.000000
Arkansas,Trees,0.271186
Arkansas,Vegetables,0.949153
Arkansas,WildHarvested,0.152542
Arkansas,Wine,0.033898
California,Bakedgoods,0.868778
California,Beans,0.192308
California,Cheese,0.538462
California,Coffee,0.364253
California,Crafts,0.475113
California,Eggs,0.726244
California,Flowers,0.787330
California,Fruits,0.823529
California,Grains,0.142534
California,Herbs,0.787330
California,Honey,0.839367
California,Jams,0.699095
California,Juices,0.411765
California,Maple,0.047511
California,Meat,0.445701
California,Mushrooms,0.296380
California,Nursery,0.065611
California,Nuts,0.717195
California,PetFood,0.099548
California,Plants,0.549774
California,Poultry,0.404977
California,Prepared,0.807692
California,Seafood,0.438914
California,Soap,0.592760
California,Tofu,0.090498
California,Trees,0.386878
California,Vegetables,0.963801
California,WildHarvested,0.076923
California,Wine,0.153846
Colorado,Bakedgoods,0.918367
Colorado,Beans,0.214286
Colorado,Cheese,0.530612
Colorado,Coffee,0.551020
Colorado,Crafts,0.775510
Colorado,Eggs,0.765306
Colorado,Flowers,0.653061
Colorado,Fruits,0.806122
Colorado,Grains,0.214286
Colorado,Herbs,0.765306
Colorado,Honey,0.887755
Colorado,Jams,0.887755
Colorado,Juices,0.387755
Colorado,Maple,0.173469
Colorado,Meat,0.714286
Colorado,Mushrooms,0.275510
Colorado,Nursery,0.071429
Colorado,Nuts,0.255102
Colorado,PetFood,0.275510
Colorado,Plants,0.663265
Colorado,Poultry,0.428571
Colorado,Prepared,0.816327
Colorado,Seafood,0.306122
Colorado,Soap,0.887755
Colorado,Tofu,0.051020
Colorado,Trees,0.142857
Colorado,Vegetables,0.959184
Colorado,WildHarvested,0.173469
Colorado,Wine,0.306122
Connecticut,Bakedgoods,0.962963
Connecticut,Beans,0.148148
Connecticut,Cheese,0.796296
Connecticut,Coffee,0.500000
Connecticut,Crafts,0.611111
Connecticut,Eggs,0.833333
Connecticut,Flowers,0.851852
Connecticut,Fruits,0.870370
Connecticut,Grains,0.111111
Connecticut,Herbs,0.796296
Connecticut,Honey,0.907407
Connecticut,Jams,0.907407
Connecticut,Juices,0.203704
Connecticut,Maple,0.814815
Connecticut,Meat,0.722222
Connecticut,Mushrooms,0.370370
Connecticut,Nursery,0.037037
Connecticut,Nuts,0.092593
Connecticut,PetFood,0.240741
Connecticut,Plants,0.592593
Connecticut,Poultry,0.574074
Connecticut,Prepared,0.814815
Connecticut,Seafood,0.277778
Connecticut,Soap,0.888889
Connecticut,Tofu,0.000000
Connecticut,Trees,0.222222
Connecticut,Vegetables,0.981481
Connecticut,WildHarvested,0.037037
Connecticut,Wine,0.111111
Delaware,Bakedgoods,0.678571
Delaware,Beans,0.000000
Delaware,Cheese,0.464286
Delaware,Coffee,0.321429
Delaware,Crafts,0.285714
Delaware,Eggs,0.750000
Delaware,Flowers,0.714286
Delaware,Fruits,0.785714
Delaware,Grains,0.107143
Delaware,Herbs,0.678571
Delaware,Honey,0.714286
Delaware,Jams,0.714286
Delaware,Juices,0.214286
Delaware,Maple,0.142857
Delaware,Meat,0.678571
Delaware,Mushrooms,0.357143
Delaware,Nursery,0.071429
Delaware,Nuts,0.142857
Delaware,PetFood,0.142857
Delaware,Plants,0.535714
Delaware,Poultry,0.571429
Delaware,Prepared,0.607143
Delaware,Seafood,0.178571
Delaware,Soap,0.571429
Delaware,Tofu,0.000000
Delaware,Trees,0.214286
Delaware,Vegetables,0.857143
Delaware,WildHarvested,0.071429
Delaware,Wine,0.071429
District of Columbia,Bakedgoods,0.886364
District of Columbia,Beans,0.363636
District of Columbia,Cheese,0.590909
District of Columbia,Coffee,0.409091
District of Columbia,Crafts,0.204545
District of Columbia,Eggs,0.863636
District of Columbia,Flowers,0.727273
District of Columbia,Fruits,0.909091
District of Columbia,Grains,0.068182
District of Columbia,Herbs,0.886364
District of Columbia,Honey,0.613636
District of Columbia,Jams,0.454545
District of Columbia,Juices,0.409091
District of Columbia,Maple,0.090909
District of Columbia,Meat,0.727273
District of Columbia,Mushrooms,0.477273
District of Columbia,Nursery,0.000000
District of Columbia,Nuts,0.181818
District of Columbia,PetFood,0.113636
District of Columbia,Plants,0.318182
District of Columbia,Poultry,0.681818
District of Columbia,Prepared,0.431818
District of Columbia,Seafood,0.409091
District of Columbia,Soap,0.113636
District of Columbia,Tofu,0.045455
District of Columbia,Trees,0.045455
District of Columbia,Vegetables,0.954545
District of Columbia,WildHarvested,0.068182
District of Columbia,Wine,0.068182
Florida,Bakedgoods,0.923077
Florida,Beans,0.198718
Florida,Cheese,0.653846
Florida,Coffee,0.467949
Florida,Crafts,0.737179
Florida,Eggs,0.756410
Florida,Flowers,0.621795
Florida,Fruits,0.807692
Florida,Grains,0.250000
Florida,Herbs,0.878205
Florida,Honey,0.929487
Florida,Jams,0.916667
Florida,Juices,0.423077
Florida,Maple,0.358974
Florida,Meat,0.493590
Florida,Mushrooms,0.326923
Florida,Nursery,0.083333
Florida,Nuts,0.538462
Florida,PetFood,0.410256
Florida,Plants,0.794872
Florida,Poultry,0.429487
Florida,Prepared,0.807692
Florida,Seafood,0.570513
Florida,Soap,0.814103
Florida,Tofu,0.102564
Florida,Trees,0.666667
Florida,Vegetables,0.967949
Florida,WildHarvested,0.237179
Florida,Wine,0.051282
Georgia,Bakedgoods,0.927419
Georgia,Beans,0.120968
Georgia,Cheese,0.588710
Georgia,Coffee,0.379032
Georgia,Crafts,0.637097
Georgia,Eggs,0.790323
Georgia,Flowers,0.677419
Georgia,Fruits,0.822581
Georgia,Grains,0.225806
Georgia,Herbs,0.798387
Georgia,Honey,0.919355
Georgia,Jams,0.903226
Georgia,Juices,0.298387
Georgia,Maple,0.153226
Georgia,Meat,0.572581
Georgia,Mushrooms,0.306452
Georgia,Nursery,0.032258
Georgia,Nuts,0.435484
Georgia,PetFood,0.258065
Georgia,Plants,0.612903
Georgia,Poultry,0.419355
Georgia,Prepared,0.548387
Georgia,Seafood,0.258065
Georgia,Soap,0.806452
Georgia,Tofu,0.056452
Georgia,Trees,0.370968
Georgia,Vegetables,0.927419
Georgia,WildHarvested,0.217742
Georgia,Wine,0.032258
Idaho,Bakedgoods,0.918919
Idaho,Beans,0.054054
Idaho,Cheese,0.513514
Idaho,Coffee,0.243243
Idaho,Crafts,0.864865
Idaho,Eggs,0.675676
Idaho,Flowers,0.756757
Idaho,Fruits,0.621622
Idaho,Grains,0.189189
Idaho,Herbs,0.918919
Idaho,Honey,0.864865
Idaho,Jams,0.891892
Idaho,Juices,0.135135
Idaho,Maple,0.135135
Idaho,Meat,0.513514
Idaho,Mushrooms,0.108108
Idaho,Nursery,0.108108
Idaho,Nuts,0.270270
Idaho,PetFood,0.081081
Idaho,Plants,0.810811
Idaho,Poultry,0.243243
Idaho,Prepared,0.864865
Idaho,Seafood,0.108108
Idaho,Soap,0.891892
Idaho,Tofu,0.000000
Idaho,Trees,0.324324
Idaho,Vegetables,0.972973
Idaho,WildHarvested,0.135135
Idaho,Wine,0.243243
Illinois,Bakedgoods,0.926702
Illinois,Beans,0.167539
Illinois,Cheese,0.528796
Illinois,Coffee,0.408377
Illinois,Crafts,0.596859
Illinois,Eggs,0.633508
Illinois,Flowers,0.722513
Illinois,Fruits,0.821990
Illinois,Grains,0.188482
Illinois,Herbs,0.801047
Illinois,Honey,0.780105
Illinois,Jams,0.769634
Illinois,Juices,0.225131
Illinois,Maple,0.282723
Illinois,Meat,0.581152
Illinois,Mushrooms,0.293194
Illinois,Nursery,0.047120
Illinois,Nuts,0.277487
Illinois,PetFood,0.324607
Illinois,Plants,0.717277
Illinois,Poultry,0.492147
Illinois,Prepared,0.633508
Illinois,Seafood,0.214660
Illinois,Soap,0.696335
Illinois,Tofu,0.099476
Illinois,Trees,0.261780
Illinois,Vegetables,0.958115
Illinois,WildHarvested,0.136126
Illinois,Wine,0.068063
Indiana,Bakedgoods,0.979167
Indiana,Beans,0.125000
Indiana,Cheese,0.527778
Indiana,Coffee,0.444444
Indiana,Crafts,0.805556
Indiana,Eggs,0.756944
Indiana,Flowers,0.770833
Indiana,Fruits,0.854167
Indiana,Grains,0.187500
Indiana,Herbs,0.770833
Indiana,Honey,0.895833
Indiana,Jams,0.861111
Indiana,Juices,0.194444
Indiana,Maple,0.541667
Indiana,Meat,0.645833
Indiana,Mushrooms,0.222222
Indiana,Nursery,0.034722
Indiana,Nuts,0.243056
Indiana,PetFood,0.298611
Indiana,Plants,0.888889
Indiana,Poultry,0.437500
Indiana,Prepared,0.631944
Indiana,Seafood,0.104167
Indiana,Soap,0.833333
Indiana,Tofu,0.006944
Indiana,Trees,0.256944
Indiana,Vegetables,0.986111
Indiana,WildHarvested,0.173611
Indiana,Wine,0.083333
Iowa,Bakedgoods,0.980198
Iowa,Beans,0.069307
Iowa,Cheese,0.227723
Iowa,Coffee,0.247525
Iowa,Crafts,0.841584
Iowa,Eggs,0.821782
Iowa,Flowers,0.732673
Iowa,Fruits,0.782178
Iowa,Grains,0.099010
Iowa,Herbs,0.811881
Iowa,Honey,0.831683
Iowa,Jams,0.920792
Iowa,Juices,0.148515
Iowa,Maple,0.188119
Iowa,Meat,0.475248
Iowa,Mushrooms,0.118812
Iowa,Nursery,0.069307
Iowa,Nuts,0.376238
Iowa,PetFood,0.188119
Iowa,Plants,0.811881
Iowa,Poultry,0.306931
Iowa,Prepared,0.534653
Iowa,Seafood,0.059406
Iowa,Soap,0.653465
Iowa,Tofu,0.009901
Iowa,Trees,0.158416
Iowa,Vegetables,0.980198
Iowa,WildHarvested,0.108911
Iowa,Wine,0.207921
Kansas,Bakedgoods,0.948052
Kansas,Beans,0.064935
Kansas,Cheese,0.155844
Kansas,Coffee,0.220779
Kansas,Crafts,0.688312
Kansas,Eggs,0.792208
Kansas,Flowers,0.623377
Kansas,Fruits,0.766234
Kansas,Grains,0.181818
Kansas,Herbs,0.714286
Kansas,Honey,0.818182
Kansas,Jams,0.896104
Kansas,Juices,0.155844
Kansas,Maple,0.077922
Kansas,Meat,0.493506
Kansas,Mushrooms,0.129870
Kansas,Nursery,0.012987
Kansas,Nuts,0.311688
Kansas,PetFood,0.155844
Kansas,Plants,0.623377
Kansas,Poultry,0.298701
Kansas,Prepared,0.493506
Kansas,Seafood,0.000000
Kansas,Soap,0.584416
Kansas,Tofu,0.000000
Kansas,Trees,0.168831
Kansas,Vegetables,0.948052
Kansas,WildHarvested,0.103896
Kansas,Wine,0.077922
Kentucky,Bakedgoods,0.863158
Kentucky,Beans,0.178947
Kentucky,Cheese,0.315789
