state,good,prop selling
Alabama,Cheese,0.225352
Alabama,Eggs,0.591549
Alabama,Fruits,0.760563
Alabama,Maple,0.014085
Alabama,Poultry,0.197183
Alabama,Wine,0.000000
Arizona,Cheese,0.484848
Arizona,Eggs,0.757576
Arizona,Fruits,0.909091
Arizona,Maple,0.181818
Arizona,Poultry,0.409091
Arizona,Wine,0.090909
Arkansas,Cheese,0.203390
Arkansas,Eggs,0.864407
Arkansas,Fruits,0.864407
Arkansas,Maple,0.101695
Arkansas,Poultry,0.355932
Arkansas,Wine,0.033898
California,Cheese,0.538462
California,Eggs,0.726244
California,Fruits,0.823529
California,Maple,0.047511
California,Poultry,0.404977
California,Wine,0.153846
Colorado,Cheese,0.530612
Colorado,Eggs,0.765306
Colorado,Fruits,0.806122
Colorado,Maple,0.173469
Colorado,Poultry,0.428571
Colorado,Wine,0.306122
Connecticut,Cheese,0.796296
Connecticut,Eggs,0.833333
Connecticut,Fruits,0.870370
Connecticut,Maple,0.814815
Connecticut,Poultry,0.574074
Connecticut,Wine,0.111111
Delaware,Cheese,0.464286
Delaware,Eggs,0.750000
Delaware,Fruits,0.785714
Delaware,Maple,0.142857
Delaware,Poultry,0.571429
Delaware,Wine,0.071429
District of Columbia,Cheese,0.590909
District of Columbia,Eggs,0.863636
District of Columbia,Fruits,0.909091
District of Columbia,Maple,0.090909
District of Columbia,Poultry,0.681818
District of Columbia,Wine,0.068182
Florida,Cheese,0.653846
Florida,Eggs,0.756410
Florida,Fruits,0.807692
Florida,Maple,0.358974
Florida,Poultry,0.429487
Florida,Wine,0.051282
Georgia,Cheese,0.588710
Georgia,Eggs,0.790323
Georgia,Fruits,0.822581
Georgia,Maple,0.153226
Georgia,Poultry,0.419355
Georgia,Wine,0.032258
Idaho,Cheese,0.513514
Idaho,Eggs,0.675676
Idaho,Fruits,0.621622
Idaho,Maple,0.135135
Idaho,Poultry,0.243243
Idaho,Wine,0.243243
Illinois,Cheese,0.528796
Illinois,Eggs,0.633508
Illinois,Fruits,0.821990
Illinois,Maple,0.282723
Illinois,Poultry,0.492147
Illinois,Wine,0.068063
Indiana,Cheese,0.527778
Indiana,Eggs,0.756944
Indiana,Fruits,0.854167
Indiana,Maple,0.541667
Indiana,Poultry,0.437500
Indiana,Wine,0.083333
Iowa,Cheese,0.227723
Iowa,Eggs,0.821782
Iowa,Fruits,0.782178
Iowa,Maple,0.188119
Iowa,Poultry,0.306931
Iowa,Wine,0.207921
Kansas,Cheese,0.155844
Kansas,Eggs,0.792208
Kansas,Fruits,0.766234
Kansas,Maple,0.077922
Kansas,Poultry,0.298701
Kansas,Wine,0.077922
Kentucky,Cheese,0.315789
Kentucky,Eggs,0.800000
Kentucky,Fruits,0.863158
Kentucky,Maple,0.294737
Kentucky,Poultry,0.421053
Kentucky,Wine,0.157895
Louisiana,Cheese,0.421053
Louisiana,Eggs,0.736842
Louisiana,Fruits,0.789474
Louisiana,Maple,0.035088
Louisiana,Poultry,0.315789
Louisiana,Wine,0.175439
Maine,Cheese,0.787879
Maine,Eggs,0.833333
Maine,Fruits,0.787879
Maine,Maple,0.787879
Maine,Poultry,0.575758
Maine,Wine,0.181818
Maryland,Cheese,0.469565
Maryland,Eggs,0.878261
Maryland,Fruits,0.773913
Maryland,Maple,0.165217
Maryland,Poultry,0.591304
Maryland,Wine,0.330435
Massachusetts,Cheese,0.583333
Massachusetts,Eggs,0.829167
Massachusetts,Fruits,0.820833
Massachusetts,Maple,0.650000
Massachusetts,Poultry,0.579167
Massachusetts,Wine,0.287500
Michigan,Cheese,0.457983
Michigan,Eggs,0.764706
Michigan,Fruits,0.848739
Michigan,Maple,0.726891
Michigan,Poultry,0.420168
Michigan,Wine,0.147059
Minnesota,Cheese,0.283465
Minnesota,Eggs,0.700787
Minnesota,Fruits,0.708661
Minnesota,Maple,0.559055
Minnesota,Poultry,0.448819
Minnesota,Wine,0.007874
Mississippi,Cheese,0.533333
Mississippi,Eggs,0.666667
Mississippi,Fruits,0.777778
Mississippi,Maple,0.022222
Mississippi,Poultry,0.111111
Mississippi,Wine,0.000000
Missouri,Cheese,0.210843
Missouri,Eggs,0.795181
Missouri,Fruits,0.777108
Missouri,Maple,0.090361
Missouri,Poultry,0.313253
Missouri,Wine,0.048193
Montana,Cheese,0.269231
Montana,Eggs,0.826923
Montana,Fruits,0.730769
Montana,Maple,0.076923
Montana,Poultry,0.269231
Montana,Wine,0.115385
Nebraska,Cheese,0.218182
Nebraska,Eggs,0.745455
Nebraska,Fruits,0.800000
Nebraska,Maple,0.145455
Nebraska,Poultry,0.345455
Nebraska,Wine,0.072727
Nevada,Cheese,0.307692
Nevada,Eggs,0.692308
Nevada,Fruits,0.846154
Nevada,Maple,0.153846
Nevada,Poultry,0.000000
Nevada,Wine,0.038462
New Hampshire,Cheese,0.739130
New Hampshire,Eggs,0.913043
New Hampshire,Fruits,0.724638
New Hampshire,Maple,0.884058
New Hampshire,Poultry,0.710145
New Hampshire,Wine,0.434783
New Jersey,Cheese,0.644231
New Jersey,Eggs,0.653846
New Jersey,Fruits,0.682692
New Jersey,Maple,0.201923
New Jersey,Poultry,0.394231
New Jersey,Wine,0.240385
New Mexico,Cheese,0.214286
New Mexico,Eggs,0.553571
New Mexico,Fruits,0.696429
New Mexico,Maple,0.000000
New Mexico,Poultry,0.125000
New Mexico,Wine,0.017857
