state,num_markets,state_pop,log_markets,log_pop
Alabama,71,4849377.0,4.262680,15.394361
Arizona,66,6731484.0,4.189655,15.722306
Arkansas,59,2966369.0,4.077537,14.902849
California,442,38802500.0,6.091310,17.473995
Colorado,98,5355866.0,4.584967,15.493703
Connecticut,54,3596677.0,3.988984,15.095521
Delaware,28,935614.0,3.332205,13.748958
District of Columbia,44,658893.0,3.784190,13.398316
Florida,156,19893297.0,5.049856,16.805893
Georgia,124,10097343.0,4.820282,16.127783
Idaho,37,1634464.0,3.610918,14.306825
Illinois,191,12880580.0,5.252273,16.371231
Indiana,144,6596855.0,4.969813,15.702104
Iowa,101,3107126.0,4.615121,14.949209
Kansas,77,2904021.0,4.343805,14.881607
Kentucky,95,4413457.0,4.553877,15.300169
Louisiana,57,4649676.0,4.043051,15.352308
Maine,66,1330089.0,4.189655,14.100756
Maryland,115,5976407.0,4.744932,15.603330
Massachusetts,240,6745408.0,5.480639,15.724373
Michigan,238,9909877.0,5.472271,16.109042
Minnesota,127,5457173.0,4.844187,15.512441
Mississippi,45,2994079.0,3.806662,14.912147
Missouri,166,6063589.0,5.111988,15.617812
Montana,52,1023579.0,3.951244,13.838816
Nebraska,55,1881503.0,4.007333,14.447581
Nevada,26,2839099.0,3.258097,14.858997
New Hampshire,69,1326813.0,4.234107,14.098290
New Jersey,104,8938175.0,4.644391,16.005842
New Mexico,56,2085572.0,4.025352,14.550554
New York,450,19746227.0,6.109248,16.798473
North Carolina,163,9943964.0,5.093750,16.112476
North Dakota,16,739482.0,2.772589,13.513705
Ohio,184,11594163.0,5.214936,16.266012
Oklahoma,34,3878051.0,3.526361,15.170843
Oregon,122,3970239.0,4.804021,15.194337
Pennsylvania,144,12787209.0,4.969813,16.363956
Rhode Island,34,1055173.0,3.526361,13.869215
South Carolina,67,4832482.0,4.204693,15.390871
South Dakota,23,853175.0,3.135494,13.656720
Tennessee,82,6549352.0,4.406719,15.694877
Texas,127,26956958.0,4.844187,17.109752
Utah,31,2942902.0,3.433987,14.894907
Vermont,68,626562.0,4.219508,13.348003
Virginia,181,8326289.0,5.198497,15.934928
Washington,131,7061530.0,4.875197,15.770172
West Virginia,56,1850326.0,4.025352,14.430872
Wisconsin,196,5757564.0,5.278115,15.566025
Wyoming,31,584153.0,3.433987,13.277918
