state,num_markets,population,people_per_market,log_pop,log_markets,is_selected
Vermont,68,626562.0,9214.147059,13.348003,4.219508,Vermont
District of Columbia,44,658893.0,14974.840909,13.398316,3.784190,other
Wyoming,31,584153.0,18843.645161,13.277918,3.433987,other
New Hampshire,69,1326813.0,19229.173913,14.098290,4.234107,other
Montana,52,1023579.0,19684.211538,13.838816,3.951244,other
Maine,66,1330089.0,20152.863636,14.100756,4.189655,other
Massachusetts,240,6745408.0,28105.866667,15.724373,5.480639,other
Wisconsin,196,5757564.0,29375.326531,15.566025,5.278115,other
Iowa,101,3107126.0,30763.623762,14.949209,4.615121,other
Rhode Island,34,1055173.0,31034.500000,13.869215,3.526361,other
Oregon,122,3970239.0,32542.942623,15.194337,4.804021,other
West Virginia,56,1850326.0,33041.535714,14.430872,4.025352,other
Delaware,28,935614.0,33414.785714,13.748958,3.332205,other
Nebraska,55,1881503.0,34209.145455,14.447581,4.007333,other
Missouri,166,6063589.0,36527.644578,15.617812,5.111988,other
South Dakota,23,853175.0,37094.565217,13.656720,3.135494,other
New Mexico,56,2085572.0,37242.357143,14.550554,4.025352,other
Kansas,77,2904021.0,37714.558442,14.881607,4.343805,other
Michigan,238,9909877.0,41638.138655,16.109042,5.472271,other
Minnesota,127,5457173.0,42969.866142,15.512441,4.844187,other
New York,450,19746227.0,43880.504444,16.798473,6.109248,other
Idaho,37,1634464.0,44174.702703,14.306825,3.610918,other
Indiana,144,6596855.0,45811.493056,15.702104,4.969813,other
Virginia,181,8326289.0,46001.596685,15.934928,5.198497,other
North Dakota,16,739482.0,46217.625000,13.513705,2.772589,other
Kentucky,95,4413457.0,46457.442105,15.300169,4.553877,other
Arkansas,59,2966369.0,50277.440678,14.902849,4.077537,other
Maryland,115,5976407.0,51968.756522,15.603330,4.744932,Maryland
Washington,131,7061530.0,53904.809160,15.770172,4.875197,other
Colorado,98,5355866.0,54651.693878,15.493703,4.584967,other
North Carolina,163,9943964.0,61005.914110,16.112476,5.093750,other
Ohio,184,11594163.0,63011.755435,16.266012,5.214936,other
Mississippi,45,2994079.0,66535.088889,14.912147,3.806662,other
Connecticut,54,3596677.0,66605.129630,15.095521,3.988984,other
Illinois,191,12880580.0,67437.591623,16.371231,5.252273,other
Alabama,71,4849377.0,68301.084507,15.394361,4.262680,other
South Carolina,67,4832482.0,72126.597015,15.390871,4.204693,other
Tennessee,82,6549352.0,79870.146341,15.694877,4.406719,other
Georgia,124,10097343.0,81430.185484,16.127783,4.820282,other
Louisiana,57,4649676.0,81573.263158,15.352308,4.043051,other
New Jersey,104,8938175.0,85943.990385,16.005842,4.644391,other
California,442,38802500.0,87788.461538,17.473995,6.091310,other
Pennsylvania,144,12787209.0,88800.062500,16.363956,4.969813,other
Utah,31,2942902.0,94932.322581,14.894907,3.433987,other
Arizona,66,6731484.0,101992.181818,15.722306,4.189655,other
Nevada,26,2839099.0,109196.115385,14.858997,3.258097,other
Oklahoma,34,3878051.0,114060.323529,15.170843,3.526361,other
Florida,156,19893297.0,127521.134615,16.805893,5.049856,other
Texas,127,26956958.0,212259.511811,17.109752,4.844187,Texas
