state,num_markets,population,people_per_market
Vermont,92,626562,6810.456522
North Dakota,66,739482,11204.272727
District of Columbia,57,658893,11559.526316
Wyoming,49,584153,11921.489796
Iowa,228,3107126,13627.745614
New Hampshire,96,1326813,13820.968750
Maine,96,1330089,13855.093750
Montana,70,1023579,14622.557143
Hawaii,97,1419561,14634.649485
Nebraska,103,1881503,18267.019417
Wisconsin,309,5757564,18632.893204
Alaska,38,736732,19387.684211
West Virginia,93,1850326,19895.978495
Massachusetts,327,6745408,20628.159021
South Dakota,41,853175,20809.146341
Connecticut,158,3596677,22763.778481
Missouri,256,6063589,23685.894531
Oregon,167,3970239,23773.886228
Kansas,120,2904021,24200.175000
Idaho,65,1634464,25145.600000
Delaware,36,935614,25989.277778
Arkansas,109,2966369,27214.394495
Minnesota,197,5457173,27701.385787
New Mexico,72,2085572,28966.277778
Michigan,341,9909877,29061.222874
Rhode Island,36,1055173,29310.361111
New York,670,19746227,29471.980597
Virginia,260,8326289,32024.188462
Kentucky,137,4413457,32215.014599
Colorado,161,5355866,33266.248447
Indiana,195,6596855,33830.025641
Alabama,140,4849377,34638.407143
Ohio,333,11594163,34817.306306
South Carolina,135,4832482,35796.162963
Maryland,164,5976407,36441.506098
Mississippi,82,2994079,36513.158537
Illinois,337,12880580,38221.305638
North Carolina,256,9943964,38843.609375
Pennsylvania,309,12787209,41382.553398
Washington,170,7061530,41538.411765
Tennessee,131,6549352,49995.053435
California,760,38802500,51055.921053
Oklahoma,73,3878051,53123.986301
Louisiana,82,4649676,56703.365854
New Jersey,152,8938175,58803.782895
Georgia,163,10097343,61946.889571
Utah,45,2942902,65397.822222
Arizona,92,6731484,73168.304348
Nevada,38,2839099,74713.131579
Florida,263,19893297,75639.912548
Texas,226,26956958,119278.575221
