Country ,Continent,female_literacy,fertility,population
Chine,ASI,90.5,1.769,1324.655
Inde,ASI,50.8,2.682,1139.96493164188
USA,NAM,99,2.077,304.06
Indonésie,ASI,88.8,2.132,227.345082
Brésil,LAT,90.2,1.827,191.971506
Pakistan,ASI,40,3.872,166.111487118278
Bangladesh,ASI,49.8,2.288,160.000128
Nigéria,AF,48.8,5.173,151.212254
Fédération de Russie,EUR,99.4,1.393,141.95
Japan,ASI,99,1.262,127.704
Mexique,LAT,91.5,2.156,106.350433683525
Philippines,ASI,93.9,3.026,90.348437
Viet Nam,ASI,90.2,2.033,86.210781
Germany,EUR,99,1.324,82.110097
Egypte,AF,57.8,2.816,81.527172
Ethiopie,AF,22.8,5.211,80.713434
Turquie,ASI,81.3,2.1,73.91426
"Iran, République islamique d'",ASI,77.2,1.781,71.9563216875886
Thaïlande,ASI,91.5,1.822,67.386383
Rép. Démocratique du Congo,AF,56.1,5.908,64.256635
France,EUR,99,1.881,62.277432
UK,EUR,99,1.852,61.414062
Italie,EUR,98.5,1.39,59.832179
Myanmar,ASI,89.2,2.281,49.563019
Afrique du Sud,AF,88.1,2.505,48.687
South Korea,ASI,96.6,1.224,48.607
Ukraine,EUR,99.6,1.361,46.2582
Espagne,EUR,96.9,1.468,45.555716
Colombie,LAT,93.4,2.404,45.012096
République-Unie de Tanzanie,AF,66.3,5.52,42.483923
Soudan,AF,59.6,4.058,41.347723
Argentine,LAT,97.7,2.223,39.88298
Kenya,AF,82.8,4.859,38.765312
Pologne,EUR,99.3,1.267,38.125759
Algérie,AF,63.9,2.342,34.373426
Canada,NAM,99,1.579,33.3114
Ouganda,AF,66.8,6.254,31.656865
Maroc,AF,44.1,2.334,31.605616
Iraq,ASI,69.2,3.961,30.7111522927428
Afghanistan,ASI,12.6,6.505,29.0210989974162
Pérou,LAT,84.6,2.53,28.8367
Népal,ASI,45.4,2.823,28.809526
Venezuela,LAT,94.9,2.498,27.935
Ouzbékistan,ASI,98.9,2.248,27.3137
Malaisie,ASI,89.8,2.508,27.014337
Arabie saoudite,ASI,80.2,3.04,24.6456859216375
Rép. populaire démocratique de Corée,ASI,100,1.854,23.818753
Ghana,AF,59.3,4.22,23.350927
Yémen,ASI,42.8,5.1,22.917485
Mozambique,AF,40.1,4.967,22.382533
Roumanie,EUR,96.9,1.325,21.513622
Côte d'Ivoire,AF,44.3,4.514,20.591302
République arabe syrienne,ASI,77.2,3.173,20.5812898697702
Sri Lanka,ASI,89.1,2.308,20.1562043380748
Madagascar,AF,65.3,4.62,19.110941
Cameroun,AF,67.8,4.541,19.088385
Angola,AF,57,5.637,18.020668
Chili,LAT,98.7,1.926,16.803952
Netherlands,EUR,99,1.747,16.445593
Kazakhstan,ASI,99.5,2.294,15.674833
Burkina Faso,AF,21.6,5.841,15.233884
Malawi,AF,65.8,5.455,14.846182
Niger,AF,15.1,7.069,14.704318
Cambodge,ASI,70.9,2.859,14.562008
Guatemala,LAT,68.7,4.018,13.686128
Equateur,LAT,81.7,2.513,13.481424
Mali,AF,18.2,5.405,12.705736
Zambie,AF,61,5.737,12.620219
Zimbabwe,AF,88.8,3.363,12.462879
Sénégal,AF,33,4.89,12.211181
Grèce,EUR,95.9,1.385,11.237094
Cuba,LAT,99.8,1.505,11.204735
Tchad,AF,21.9,6.081,10.913667
Belgium,EUR,99,1.784,10.708433
Portugal,EUR,92.9,1.378,10.622413
Czech rep,EUR,99,1.45,10.424336
Tunisie,AF,71,1.841,10.3278
Hongrie,EUR,98.9,1.37,10.038188
République dominicaine,LAT,88.3,2.612,9.952711
Guinée,AF,26.4,5.329,9.833055
Rwanda,AF,66.1,5.33,9.720694
Bolivie,LAT,86,3.371,9.694113
Bélarus,EUR,99.7,1.281,9.68085
Sweden,EUR,99,1.871,9.219637
Azerbaïdjan,ASI,99.2,2.153,8.6801
Bénin,AF,28.1,5.378,8.662086
Burundi,AF,59.9,4.45,8.074254
Switzerland,EUR,99,1.46,7.647675
Bulgarie,EUR,97.9,1.436,7.623395
Serbie,EUR,96.2,1.612,7.350221
Honduras,LAT,83.5,3.19,7.318789
Israel,ASI,95.9,2.752,7.3088
Tadjikistan,ASI,99.5,3.35,6.836083
Papouasie-Nouvelle-Guinée,OCE,55.6,4.01,6.576822
Togo,AF,53.7,4.166,6.458605
Jamahiriya arabe libyenne,AF,81.3,2.642,6.294181
Paraguay,LAT,93.5,2.977,6.237855
Rép. démocratique populaire lao,ASI,63.2,3.415,6.205341
El Salvador,LAT,81.4,2.295,6.13391
Jordanie,ASI,88.9,3.019,5.90604287150034
Nicaragua,LAT,77.9,2.683,5.667325
Sierra Leone,AF,28.9,5.165,5.559853
Denmark,EUR,99,1.849,5.493621
Finland,EUR,100,1.836,5.313399
Kirghizistan,ASI,99.1,2.518,5.2779
Turkménistan,ASI,99.3,2.43,5.043618
Erythrée,AF,54.5,4.528,4.926877
Singapour,ASI,91.6,1.263,4.8394
Norway,EUR,100,1.885,4.768212
Costa Rica,LAT,96.2,1.943,4.519126
Emirats arabes unis,ASI,91.5,1.899,4.484935
Croatie,EUR,98,1.442,4.434
Ireland,EUR,99,1.953,4.425675
République centrafricaine,AF,41.1,4.697,4.339263
Géorgie,ASI,99.7,1.582,4.307011
New Zealand,OCE,99,2.025,4.2689
Liban,ASI,86,1.841,4.193758
Libéria,AF,53,5.011,3.7934
Bosnie-Herzégovine,EUR,95.9,1.212,3.7731
République de Moldova,EUR,97.8,1.502,3.633369
Panama,LAT,92.8,2.516,3.398823
Lituanie,EUR,99.7,1.367,3.358115
Uruguay,LAT,98.5,2.089,3.334052
Mauritanie,AF,49.5,4.388,3.215043
Albanie,EUR,98.7,1.854,3.143291
Arménie,ASI,99.4,1.748,3.077087
Oman,ASI,80.9,2.978,2.785361
Koweït,ASI,93.1,2.152,2.72804083948046
Jamaïque,LAT,90.8,2.362,2.6872
Mongolie,ASI,97.8,1.988,2.641216
Lettonie,EUR,99.8,1.426,2.266094
Namibie,AF,87.7,3.29,2.129854
Lesotho,AF,95.1,3.264,2.049429
L'ex-Rép. yougoslave de Macédoine,EUR,95.4,1.436,2.041342
Slovénie,EUR,99.7,1.393,2.021316
Botswana,AF,83.5,2.822,1.921122
Gambie,AF,34.3,4.969,1.6602
Guinée-Bissau,AF,36.5,5.659,1.575446
Gabon,AF,83.2,3.24,1.448159
Estonie,EUR,99.8,1.693,1.340675
Trinité-et-Tobago,LAT,98.2,1.647,1.333388
Qatar,ASI,90.4,2.36,1.280862
Maurice,AF,84.8,1.792,1.268854
Swaziland,AF,85.6,3.45,1.167834
Chypre,EUR,96.7,1.516,0.862434
Bahreïn,ASI,89.4,2.233,0.775585
Bhoutan,ASI,38.7,2.563,0.686789
Guinée équatoriale,AF,89.1,5.283,0.659197
Comores,AF,67.8,3.885,0.643571312838574
"Macao, Chine",ASI,90.7,0.966,0.526178
Suriname,LAT,88.4,2.373,0.515124
Cap-Vert,AF,79.3,2.663,0.498672
Malte,EUR,93.5,1.251,0.41195
Brunéi Darussalam,ASI,93.3,2.052,0.39228
Bahamas,LAT,96.5,3.371,0.337668
Iceland,EUR,99,2.093,0.317414
Maldives,ASI,98.4,2,0.305027
Vanuatu,OCE,79.5,3.883,0.233866
Samoa,OCE,98.5,3.852,0.178869
Sao Tomé-et-Principe,AF,83.3,3.718,0.160174
Aruba,LAT,98,1.732,0.105455
