,model_year,origin,mpg_mean
0,70,europe,25.200000
1,70,japan,25.500000
2,70,usa,15.272727
3,71,europe,28.750000
4,71,japan,29.500000
5,71,usa,18.100000
6,72,europe,22.000000
7,72,japan,24.200000
8,72,usa,16.277778
9,73,europe,24.000000
10,73,japan,20.000000
11,73,usa,15.034483
12,74,europe,27.000000
13,74,japan,29.333333
14,74,usa,18.333333
15,75,europe,24.500000
16,75,japan,27.500000
17,75,usa,17.550000
18,76,europe,24.250000
19,76,japan,28.000000
20,76,usa,19.431818
21,77,europe,29.250000
22,77,japan,27.416667
23,77,usa,20.722222
24,78,europe,24.950000
25,78,japan,29.687500
26,78,usa,21.772727
27,79,europe,30.450000
28,79,japan,32.950000
29,79,usa,23.478261
30,80,europe,37.288889
31,80,japan,35.400000
32,80,usa,25.914286
33,81,europe,31.575000
34,81,japan,32.958333
35,81,usa,27.530769
36,82,europe,40.000000
37,82,japan,34.888889
38,82,usa,29.450000
