,Music,Techno,Movies,History,Mathematics,Pets,Spiders,Loneliness,Parents Advice,Internet usage,Finances,Age,Siblings,Gender,Village - town,Age Category,Interested in Math,Interested in Pets
0,5.0,1.0,5.0,1.0,3.0,4.0,1.0,3.0,Often,few hours a day,3.0,20.0,1.0,female,village,Less than 21,False,Yes
1,4.0,1.0,5.0,1.0,5.0,5.0,1.0,2.0,Rarely,few hours a day,3.0,19.0,2.0,female,city,Less than 21,True,Yes
2,5.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,Sometimes,few hours a day,2.0,20.0,2.0,female,city,Less than 21,True,Yes
3,5.0,2.0,5.0,4.0,4.0,1.0,5.0,5.0,Rarely,most of the day,2.0,22.0,1.0,female,city,21+,True,No
4,5.0,2.0,5.0,3.0,2.0,1.0,1.0,3.0,Sometimes,few hours a day,4.0,20.0,1.0,female,village,Less than 21,False,No
5,5.0,1.0,5.0,5.0,2.0,2.0,1.0,2.0,Sometimes,few hours a day,2.0,20.0,1.0,male,city,Less than 21,False,No
6,5.0,5.0,4.0,3.0,1.0,5.0,1.0,3.0,Often,less than an hour a day,4.0,20.0,1.0,female,village,Less than 21,False,Yes
7,5.0,3.0,5.0,5.0,1.0,5.0,1.0,2.0,Sometimes,few hours a day,3.0,19.0,1.0,male,city,Less than 21,False,Yes
8,5.0,1.0,5.0,3.0,1.0,1.0,5.0,4.0,Often,few hours a day,2.0,18.0,1.0,female,city,Less than 21,False,No
9,5.0,1.0,5.0,3.0,3.0,2.0,3.0,2.0,Sometimes,few hours a day,4.0,19.0,3.0,female,city,Less than 21,False,No
10,5.0,4.0,5.0,3.0,2.0,5.0,2.0,2.0,Often,less than an hour a day,2.0,19.0,2.0,female,city,Less than 21,False,Yes
11,5.0,1.0,5.0,2.0,1.0,1.0,5.0,4.0,Often,few hours a day,2.0,17.0,1.0,female,city,Less than 21,False,No
12,5.0,1.0,5.0,4.0,1.0,2.0,1.0,5.0,Often,few hours a day,4.0,24.0,10.0,female,city,21+,False,No
13,5.0,1.0,5.0,2.0,1.0,5.0,3.0,2.0,Sometimes,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False,Yes
14,5.0,1.0,4.0,2.0,1.0,5.0,2.0,2.0,Often,most of the day,5.0,22.0,1.0,female,city,21+,False,Yes
15,1.0,1.0,5.0,5.0,3.0,1.0,1.0,4.0,Often,few hours a day,3.0,18.0,0.0,male,city,Less than 21,False,No
16,5.0,4.0,5.0,1.0,1.0,5.0,5.0,2.0,Sometimes,few hours a day,3.0,19.0,2.0,female,city,Less than 21,True,Yes
17,5.0,1.0,5.0,3.0,1.0,5.0,4.0,4.0,Never,few hours a day,1.0,20.0,1.0,female,village,Less than 21,False,Yes
18,5.0,4.0,5.0,3.0,5.0,4.0,1.0,4.0,Sometimes,few hours a day,4.0,18.0,2.0,male,city,Less than 21,False,Yes
19,5.0,3.0,3.0,2.0,3.0,1.0,4.0,2.0,Rarely,few hours a day,2.0,18.0,1.0,male,city,Less than 21,False,No
20,5.0,3.0,5.0,5.0,2.0,3.0,2.0,2.0,Sometimes,few hours a day,2.0,20.0,1.0,male,city,Less than 21,False,Yes
21,5.0,1.0,5.0,4.0,3.0,5.0,1.0,4.0,Sometimes,few hours a day,2.0,24.0,1.0,male,city,21+,False,Yes
22,5.0,3.0,5.0,3.0,1.0,5.0,5.0,3.0,Sometimes,few hours a day,5.0,22.0,1.0,female,city,21+,False,Yes
23,5.0,1.0,5.0,2.0,2.0,5.0,3.0,3.0,Rarely,few hours a day,2.0,20.0,3.0,female,city,Less than 21,False,Yes
24,5.0,3.0,5.0,4.0,2.0,3.0,5.0,4.0,Often,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False,Yes
25,5.0,2.0,5.0,2.0,3.0,3.0,5.0,2.0,Often,few hours a day,2.0,20.0,1.0,female,city,Less than 21,False,Yes
26,5.0,2.0,5.0,3.0,2.0,5.0,1.0,4.0,Always,few hours a day,5.0,22.0,1.0,female,city,21+,False,Yes
27,4.0,4.0,5.0,2.0,1.0,5.0,5.0,3.0,Often,few hours a day,3.0,19.0,1.0,female,city,Less than 21,False,Yes
28,5.0,3.0,5.0,5.0,1.0,3.0,4.0,3.0,Sometimes,few hours a day,3.0,20.0,2.0,male,village,Less than 21,False,Yes
29,5.0,3.0,5.0,5.0,2.0,2.0,5.0,3.0,Sometimes,few hours a day,4.0,19.0,2.0,female,village,Less than 21,True,No
30,4.0,3.0,5.0,2.0,1.0,3.0,5.0,2.0,Sometimes,few hours a day,2.0,25.0,1.0,male,city,21+,True,Yes
31,4.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,Sometimes,less than an hour a day,4.0,22.0,1.0,female,city,21+,True,No
