,pid,tid
3150,1,3063
315,1,2712
2178,1,2641
2772,1,2271
430,1,919
2138,1,794
2817,1,2381
1667,1,1889
506,1,3439
1222,1,2042
1146,1,1718
1192,1,1928
3404,3,2920
3234,1,2126
192,1,539
3249,1,361
1793,1,3457
862,1,743
3241,1,2133
2285,1,1258
1600,1,1822
2830,1,2394
1791,1,3455
2163,1,829
2567,1,1793
70,1,2592
1173,1,1761
402,1,891
1454,1,1295
721,1,1191
3085,1,2987
2095,1,621
3169,1,3099
1226,1,2045
501,1,3445
2754,1,2270
196,1,2165
2624,1,2098
2473,1,1610
1844,1,1783
2672,1,2162
289,1,2487
1876,1,306
729,1,1199
30,1,3365
179,1,1476
2057,1,490
346,1,2793
2996,1,2547
2659,1,2149
2781,1,2280
867,1,229
1336,1,3119
229,1,2289
2880,1,2702
1861,1,291
170,1,1467
949,1,869
1894,1,2227
3356,3,3171
